Environmental Context,Type,Common name,Scientific name,Photosynthetic pathway,Availability (%),FO (%),DF (%),Source
Agricultural Playa Basins,Grasses,Western wheatgrass,Agropyron smithii,C3,4.7,30.3,6.6,Osborne et al. 2014
Agricultural Playa Basins,Grasses,Bulrush,Scirpus spp.,C3,3,13.64,2.7,Bruhl and Wilson 2007
Agricultural Playa Basins,Forbs,Ragweed,Ambrosia tomentosa,C3,12.3,36.36,5.1,Nelson 2012
Agricultural Playa Basins,Forbs,Blueweed sunflower,Helianthus ciliaris,C3,8,24.24,3.6,Syvertsen et al. 1976
Agricultural Playa Basins,Forbs,Lambs quarter,Chenopodium album,C3,4.4,18.18,3.1,Syvertsen et al. 1976
Agricultural Playa Basins,Forbs,Scarlet globemallow,Sphaeralcea coccinea,C3,3.9,22.73,4.6,Syvertsen et al. 1976
Agricultural Playa Basins,Forbs,Common sunflower,Helianthus annuus,C3,2.9,25.76,3.8,Syvertsen et al. 1976
Agricultural Playa Basins,Forbs,Horsetail conyza,Conyza canadensis,C3,2.7,24.24,4.1,Basinger and Robertson 1997
Agricultural Playa Basins,Grasses,Spikerush,Eleocharis spp.,C3/C4,8.4,68.18,12.2,Bruhl and Wilson 2007
Agricultural Playa Basins,Grasses,Johnsongrass,Sorghum halepense,C4,5.6,19.7,2.8,Osborne et al. 2014
Agricultural Playa Basins,Grasses,Barnyard grass,Echinochloa crusgalli,C4,1.4,12.12,1.4,Osborne et al. 2014
Agricultural Playa Basins,Grasses,Buffalo grass,Buchloe dactyloides,C4,1.2,12.12,2.9,Osborne et al. 2014
Agricultural Playa Basins,Grasses,Blue grama,Bouteloua garcilis,C4,0.2,13.64,1,Osborne et al. 2014
Agricultural Playa Basins,Forbs,Kochia,Kochia scoparia,C4,17.7,90.91,32.1,Kocacinar and Sage 2003
Agricultural Playa Basins,Forbs,Careless weed,Amaranthus retroflexus,C4,3.7,36.36,5.9,Syvertsen et al. 1976
Playa Basins,Grasses,Western wheatgrass,Agropyron smithii,C3,6.3,21.9,5.5,Osborne et al. 2014
Playa Basins,Forbs,Common ragweed,Ambrosia psilostacha,C3,9.7,51.43,6.7,Nelson 2012
Playa Basins,Forbs,Blueweed sunflower,Helianthus ciliaris,C3,7.3,21.9,2.4,Syvertsen et al. 1976
Playa Basins,Forbs,Silverleaf nightshade,Solanum elaeognifolium,C3,1.6,20.95,3.5,Syvertsen et al. 1976
Playa Basins,Forbs,Common sunflower,Helianthus onnuus,C3,1.6,33.33,3.7,Syvertsen et al. 1976
Playa Basins,Forbs,Scarlet globemallow,Sphaeralcea coccinea,C3,1.6,32.38,3.6,Syvertsen et al. 1976
Playa Basins,Forbs,Dock,Rumex crispus,C3,1.3,3.81,0.3,Danneberger 1999
Playa Basins,Forbs,Texas croton,Croton taxansis,C3,0.3,9.52,1.4,Syvertsen et al. 1976
Playa Basins,Grasses,Blue grama,Bouteloua garcilis,C4,20.5,66.67,20.4,Osborne et al. 2014
Playa Basins,Grasses,Buffalograss,Buchloe dactyloides,C4,6,23.81,5.3,Osborne et al. 2014
Playa Basins,Grasses,Silver bluestem,Brothriochloa saccharoides,C4,4.3,39.24,5.7,Osborne et al. 2014
Playa Basins,Grasses,Hairy tridens,Erioneuron pilosum,C4,3.7,3.81,2.2,Osborne et al. 2014
Playa Basins,Grasses,Hairy tridens,Chloris spp.,C4,3.2,4.04,2.2,Osborne et al. 2014
Playa Basins,Grasses,Sand dropseed,Sporobolus cryptandrus,C4,2.8,32.38,3.4,Osborne et al. 2014
Playa Basins,Grasses,Vine mesquite,Panicum obtusum,C4,2.3,11.43,1.7,Giussani et al. 2001
Playa Basins,Forbs,Kochia,Kochia scoparia,C4,15.2,70.48,19.7,Kocacinar and Sage 2003
Playa Basins,Forbs,Careless weed,Amaranthus retroflexus,C4,,10.48,1.2,Syvertsen et al. 1976
