Sample ID,Site Name,Site Number,Genus,Element,Side,d13C,d15N,CN
578LEP05,Hummingbird Pueblo,LA 578,Lepus,Femur,Right,-11.5,7.9,2.6
578LEP07,Hummingbird Pueblo,LA 578,Lepus,Femur,Right,-19.7,5.9,2.6
578LEP06,Hummingbird Pueblo,LA 578,Lepus,Femur,Right,-16.9,6.6,2.6
578LEP04,Hummingbird Pueblo,LA 578,Lepus,Femur,Right,-19.3,7.6,2.7
578LEP03,Hummingbird Pueblo,LA 578,Lepus,Femur,Right,-17.3,4.2,2.7
578LEP11,Hummingbird Pueblo,LA 578,Lepus,Femur,Right,-17.6,5.2,2.7
578LEP16,Hummingbird Pueblo,LA 578,Lepus,Femur,Left,-17.1,7.5,2.7
578LEP20,Hummingbird Pueblo,LA 578,Lepus,Femur,Left,-14.5,4.8,2.7
578LEP17,Hummingbird Pueblo,LA 578,Lepus,Femur,Left,-13,7.6,2.7
578LEP12,Hummingbird Pueblo,LA 578,Lepus,Femur,Right,-17,3.5,2.7
578LEP13,Hummingbird Pueblo,LA 578,Lepus,Femur,Right,-12.7,8.8,2.7
578LEP08,Hummingbird Pueblo,LA 578,Lepus,Femur,Right,-17,4.1,2.7
578LEP09,Hummingbird Pueblo,LA 578,Lepus,Femur,Right,-14.3,3.8,2.7
578LEP10,Hummingbird Pueblo,LA 578,Lepus,Femur,Right,-14.9,8.6,2.7
578LEP14,Hummingbird Pueblo,LA 578,Lepus,Femur,Right,-13.8,5.2,2.7
578LEP18,Hummingbird Pueblo,LA 578,Lepus,Femur,Left,-19.9,6.7,2.7
578LEP19,Hummingbird Pueblo,LA 578,Lepus,Femur,Left,-16.1,6.4,2.7
578SYL01,Hummingbird Pueblo,LA 578,Sylvilagus,Femur,Left,-12.2,2.2,2.7
578SYL02,Hummingbird Pueblo,LA 578,Sylvilagus,Femur,Left,-14.4,5.7,2.7
578SYL15,Hummingbird Pueblo,LA 578,Sylvilagus,Femur,Left,-12.9,5.7,2.7
578SYL05,Hummingbird Pueblo,LA 578,Sylvilagus,Femur,Left,-16.2,1.3,2.7
578SYL08,Hummingbird Pueblo,LA 578,Sylvilagus,Femur,Left,-12.6,6.2,2.7
578SYL12,Hummingbird Pueblo,LA 578,Sylvilagus,Femur,Left,-14.9,7.6,2.7
578SYL06,Hummingbird Pueblo,LA 578,Sylvilagus,Femur,Left,-14.3,8,2.7
578SYL13,Hummingbird Pueblo,LA 578,Sylvilagus,Femur,Left,-12.7,4.3,2.8
578SYL07,Hummingbird Pueblo,LA 578,Sylvilagus,Femur,Left,-13.3,6.3,2.7
578SYL18,Hummingbird Pueblo,LA 578,Sylvilagus,Femur,Left,-18.3,6.3,2.7
578SYL16,Hummingbird Pueblo,LA 578,Sylvilagus,Femur,Left,-11.7,3.9,2.7
578SYL17,Hummingbird Pueblo,LA 578,Sylvilagus,Femur,Left,-17.2,5.2,2.8
578SYL11,Hummingbird Pueblo,LA 578,Sylvilagus,Femur,Left,-16.2,6.1,2.7
578SYL10,Hummingbird Pueblo,LA 578,Sylvilagus,Femur,Left,-16.7,6.1,2.8
578SYL19,Hummingbird Pueblo,LA 578,Sylvilagus,Femur,Left,-13.7,3.7,2.8
578SYL09,Hummingbird Pueblo,LA 578,Sylvilagus,Femur,Left,-13.4,12.9,2.7
578SYL04,Hummingbird Pueblo,LA 578,Sylvilagus,Femur,Left,-15.7,3.7,2.8
578SYL20,Hummingbird Pueblo,LA 578,Sylvilagus,Femur,Left,-14.5,3.1,2.8
578SYL14,Hummingbird Pueblo,LA 578,Sylvilagus,Femur,Left,-17.7,5.8,2.9
664-8,Sand Canyon Pueblo,5MT765,Lepus,Humerus,Right,-19.3,7.8,2.8
806-18,Sand Canyon Pueblo,5MT765,Lepus,Humerus,Right,-19.1,3.9,2.8
