d13C,d15N,CN,Reference
-7.5,9.5,2.8-3.1,Chisholm and Matson 1994
-7.7,10.4,2.8-3.1,Chisholm and Matson 1994
-8.6,7.5,2.8-3.1,Chisholm and Matson 1994
-9.6,12.2,2.8-3.1,Chisholm and Matson 1994
-7.3,10.5,2.8-3.1,Chisholm and Matson 1994
-7.1,10.8,2.8-3.1,Chisholm and Matson 1994
-6.3,8.5,3.2,Coltrain et al. 2007
-7.6,8.3,3.2,Coltrain et al. 2007
-8.2,7.9,3.3,Coltrain et al. 2007
-9.1,8.6,3.3,Coltrain et al. 2007
-7.6,8.5,3.2,Coltrain et al. 2007
-10.1,8.4,3.2,Coltrain et al. 2007
-9.2,7.8,3.3,Coltrain et al. 2007
-6,10.7,3.1,Coltrain et al. 2007
-6.4,8,3.3,Coltrain et al. 2007
-6.6,8.1,3.3,Coltrain et al. 2007
-8.6,8.1,3.1,Coltrain et al. 2007
-7.8,8,3.2,Coltrain et al. 2007
-9,7.3,3.2,Coltrain et al. 2007
-8.6,7.1,3.1,Coltrain et al. 2007
-9.3,10.1,3.1,Coltrain et al. 2007
-5.9,8.1,3.1,Coltrain et al. 2007
-7.7,6.8,3.3,Coltrain et al. 2007
-7.3,8.4,3.5,Coltrain et al. 2007
-8.2,7.3,3.1,Coltrain et al. 2007
-7.8,6.2,3.4,Coltrain et al. 2007
-7.6,8,3.3,Coltrain et al. 2007
-6.7,6.3,3,Coltrain et al. 2007
-6.7,5.8,3,Coltrain et al. 2007
-7.2,5.6,3.2,Coltrain et al. 2007
-7.1,5.7,3.1,Coltrain et al. 2007
-8.6,5.6,3,Coltrain et al. 2007
-6,9.6,3.1,Coltrain et al. 2007
-6.5,8.7,3.1,Coltrain et al. 2007
-11.5,7.6,2.9,Coltrain et al. 2007
-8,6.9,3.1,Coltrain et al. 2007
-13.7,6.7,3.1,Coltrain et al. 2007
-6.8,12.4,3.2,Coltrain et al. 2007
-9,10.6,3.2,Coltrain et al. 2007
-7.1,11.4,3.2,Coltrain et al. 2007
-7,14,3.2,Coltrain et al. 2007
-10.4,10.4,3.3,Coltrain et al. 2007
-7.2,6.9,3.1,Coltrain et al.2007
-6.2,8.7,3.3,Coltrain et al.2007
-7.5,8,3.2,Coltrain et al.2007
-7.1,7.7,3.2,Coltrain et al.2007
-5.8,8.4,3.2,Coltrain et al.2007
-6.7,7.8,3.1,Coltrain et al.2007
-8.6,12.2,3.1,Kennett et al. 2017
-8.8,11.5,3.1,Kennett et al. 2017
-7.1,13.3,3.1,Kennett et al. 2017
-9.5,11.9,3.1,Kennett et al. 2017
-8,12.3,3.1,Kennett et al. 2017
-8.6,11.4,3.1,Kennett et al. 2017
-8.4,12.7,3.1,Kennett et al. 2017
-8.9,11.1,3.1,Kennett et al. 2017
-7.2,12.8,3.1,Kennett et al. 2017
-8.2,9,-,Martin 1999
-7.8,9.2,-,Martin 1999
-7.8,7.8,-,Martin 1999
-8,9.1,-,Martin 1999
-7.9,8.7,-,Martin 1999
-12.1,11.9,-,Martin 1999
-8.3,7.6,-,Martin 1999
-8.5,7.8,-,Martin 1999
-9.3,8.6,-,Martin 1999
-8.8,8.4,-,Martin 1999
-8.4,8,-,Martin 1999
-7,8.2,-,Martin 1999
-9.5,8.7,-,Martin 1999
-7.5,9.4,-,Martin 1999
-8.4,7,-,Martin 1999
-6.5,8,-,Martin 1999
