Diet Type,d13C,d15N,CN,Reference
Free-ranging,-15.7,4.8,2.7-3.0,Conrad et al. 2016
Free-ranging,-16.2,6.2,2.7-3.0,Conrad et al. 2016
Free-ranging,-16.8,3.2,2.7-3.0,Conrad et al. 2016
Free-ranging,-14.6,7.1,2.8,Jones et al. 2016
Free-ranging,-15.8,7.3,2.8,Jones et al. 2016
Free-ranging,-16.4,7.2,2.8,Jones et al. 2016
Free-ranging,-16.9,4,2.7,Jones et al. 2016
Free-ranging,-16.9,5.6,2.8,Jones et al. 2016
Free-ranging,-17,5.5,2.8,Jones et al. 2016
Free-ranging,-17.1,4.4,2.8,Jones et al. 2016
Free-ranging,-17.2,5.2,2.8,Jones et al. 2016
Free-ranging,-17.2,5,2.8,Jones et al. 2016
Free-ranging,-17.8,7.6,2.8,Jones et al. 2016
Free-ranging,-17.9,5.1,2.8,Jones et al. 2016
Free-ranging,-18.1,5.3,2.8,Jones et al. 2016
Free-ranging,-18.3,5.4,2.8,Jones et al. 2016
Free-ranging,-18.4,5.1,2.8,Jones et al. 2016
Free-ranging,-18.4,7.6,2.9,Jones et al. 2016
Free-ranging,-18.7,6.9,2.8,Jones et al. 2016
Free-ranging,-18.9,6.6,2.7,Jones et al. 2016
Free-ranging,-19.2,9.6,2.8,Jones et al. 2016
Free-ranging,-14.8,8.9,3.3,McCaffery et al. 2014
Free-ranging,-18.1,4.7,3.3,McCaffery et al. 2014
Maize-fed,-6.6,6.5,2.7-3.0,Conrad et al. 2016
Maize-fed,-6.7,9.2,2.7-3.0,Conrad et al. 2016
Maize-fed,-6.7,8.8,2.7-3.0,Conrad et al. 2016
Maize-fed,-6.7,8.6,2.7-3.0,Conrad et al. 2016
Maize-fed,-6.8,8.4,2.7-3.0,Conrad et al. 2016
Maize-fed,-7,7.9,2.7-3.0,Conrad et al. 2016
Maize-fed,-7,6.2,2.7-3.0,Conrad et al. 2016
Maize-fed,-7,9.1,2.7-3.0,Conrad et al. 2016
Maize-fed,-7.1,9.6,2.7-3.0,Conrad et al. 2016
